Temperature (K)	Precipitation (Kg/m^2/s)	Cloud Fraction(%)	Humidity (%)	Wind (m/s)
294.34064	2.1068863e-05	69.20604	91.044266	5.2182565
295.20203	3.069383e-07	10.410113	92.940384	3.1197562
295.03043	1.5573572e-06	36.137516	93.84364	1.9003303
295.35254	5.1962375e-06	29.885567	92.91496	3.3988423
295.62854	2.3556713e-05	21.711283	93.97782	3.2957354
296.0037	1.3422423e-06	55.291973	92.79958	2.8287017
295.91495	1.1463962e-06	66.5614	90.79204	2.7706409
296.10052	7.5922486e-07	19.633608	88.93016	4.197945
296.32462	1.3925422e-06	3.9493368	87.55154	4.0003734
296.52008	6.960272e-07	23.919088	86.21831	3.5619102
296.705	2.656391e-06	20.989332	86.19224	4.213035
296.8659	3.0241279e-06	6.00118	88.456985	4.510895
297.3156	2.1455022e-05	84.232376	94.1019	2.9630673
297.08688	3.2856842e-05	71.58255	94.66594	2.0503106
296.9012	2.2822718e-05	10.792057	95.63542	0.94035506
296.76318	1.7556135e-07	80.56613	84.033745	5.909821
295.6266	1.2069186e-06	93.83555	86.74991	7.1777606
296.70584	3.9209637e-05	35.897472	93.59867	4.6317644
295.53378	2.826758e-05	96.053734	90.890915	4.592836
289.88443	1.1958402e-06	99.96454	81.33047	8.024009
290.8981	1.18925755e-07	68.18055	76.68898	5.830164
293.1166	1.0361839e-08	29.212288	69.318184	5.0309834
294.6989	5.890467e-09	0.2774551	71.93635	4.808623
295.34222	1.2949365e-10	1.8206015	76.44816	4.9929223
295.82413	1.831229e-12	0.003659206	81.9201	5.7763352
296.48196	7.7219703e-10	0.38057232	86.45299	5.257994
297.33115	1.9561976e-06	24.742672	88.31458	4.4383736
297.4654	1.6038892e-06	24.814167	93.05989	2.7045445
297.253	5.921232e-07	36.784412	88.77475	2.9724658
297.46097	3.354551e-07	98.40658	86.78605	3.6063
298.54956	1.748296e-06	92.68555	91.34219	2.9243283
297.11142	0.00019533116	98.8115	93.51524	3.135012
296.70865	2.0722619e-06	88.28957	89.948654	6.4715953
297.83844	1.757078e-05	29.82056	93.631676	3.1579404
297.19354	0.00010925194	61.248737	93.28406	3.4226723
296.17642	9.186852e-05	92.815	90.58868	3.544373
297.006	9.005806e-06	91.87361	88.22083	3.6301703
297.92526	4.967841e-06	5.6542783	87.525185	3.4591465
298.25598	2.6882003e-06	5.698713	88.71024	2.8038516
298.32782	6.2278514e-07	6.680671	84.55267	2.3387394
298.1874	8.8132055e-07	25.34417	82.32543	2.6930141
298.75903	6.24688e-06	28.142012	84.34254	4.1816006
298.6837	3.141743e-05	40.313206	91.31451	4.162079
298.8603	9.001041e-06	8.735092	88.26622	3.2781954
298.95273	2.7846584e-06	69.138916	83.79593	2.8685162
299.20752	1.5113045e-06	87.080605	82.724785	3.6197796
299.51175	2.8055874e-06	7.535836	83.572174	4.2404833
299.70282	1.8290616e-06	14.258335	82.94319	4.2097583
299.68112	2.002513e-06	5.984402	83.55654	4.5526896
299.93225	2.461445e-06	51.927845	83.988075	5.8691044
300.03116	2.990721e-06	41.675488	85.13424	5.3280306
300.03387	4.5332154e-06	2.3482022	85.4212	4.5225654
300.1325	4.216901e-06	6.5183654	83.53171	4.8727517
300.1377	1.1800465e-05	60.39018	84.26906	5.3049054
300.4005	6.387027e-06	65.40787	82.279144	5.461165
300.36896	6.833931e-06	68.51729	83.549484	4.881457
300.30518	4.5329057e-06	38.321667	82.949486	4.0932546
300.2433	2.702456e-06	1.5851339	82.0854	3.5920355
300.34372	2.8861832e-06	1.6580462	82.82401	3.7603822
300.55893	5.233804e-06	3.7686865	83.39858	4.1527433
300.8088	3.230126e-06	26.793518	82.87074	4.376431
300.84	2.925179e-06	49.17636	82.56874	4.56986
300.66852	2.742049e-06	5.517925	81.9498	4.529837
300.79837	3.4087689e-06	46.653606	82.50511	4.7113514
300.88324	3.9972706e-06	27.16056	82.24634	4.2876754
300.87173	3.0556387e-06	81.1062	82.03427	3.5941782
300.90146	3.0364113e-06	55.39075	81.82721	3.7446945
300.85187	5.66724e-06	75.76908	82.76218	4.2542424
301.12265	1.1497334e-05	10.587009	82.84826	5.0202894
301.14798	1.0759982e-05	40.215515	81.01224	5.4944186
301.15213	2.2251435e-05	68.89172	83.01161	5.7392373
301.13586	3.1170637e-06	80.10803	77.48071	5.790391
300.9487	7.649334e-06	5.868979	79.25043	4.6909885
300.93176	9.3342915e-06	68.99742	81.724144	4.0727506
301.02365	4.2643783e-06	27.582684	80.28231	4.214949
301.75708	3.115034e-06	77.717155	77.48044	5.89228
302.0267	1.34590955e-05	13.897124	82.099915	7.3433104
301.90588	3.6466918e-05	94.15982	89.11841	6.521385
301.2021	0.00014436513	99.94375	92.14714	3.9263775
301.00757	8.960076e-05	74.136444	90.50483	3.334699
301.2017	5.1757448e-05	88.28307	88.521996	3.8550074
301.39188	6.306099e-05	79.702934	90.63553	3.8539639
301.9466	2.6915202e-05	32.16308	86.30596	5.359758
301.9792	3.8279384e-05	22.342056	86.87073	6.4967875
301.74265	0.0001165581	75.70206	87.58169	6.6150665
301.6409	0.00016012858	91.26408	88.809654	7.4362335
302.10867	0.000102321355	78.667534	87.338196	9.015221
302.39468	5.642933e-05	55.45135	88.228424	8.123585
301.58392	0.00035856728	99.9375	92.64593	5.9513273
301.62796	0.00023983938	99.98958	92.261475	5.4866467
301.39398	0.00027300135	99.99792	93.01271	4.9110775
301.44516	0.0001630589	99.94583	91.51226	5.603006
302.4622	2.4066227e-05	99.9	85.758675	8.562651
302.8904	9.756336e-07	99.9	84.78027	7.7562
302.7199	2.9598463e-05	99.910416	86.46411	7.3743606
302.00076	0.00024406902	99.95625	91.420555	6.2374554
301.97037	0.00013993365	99.92292	88.67463	6.7546983
302.4237	1.4468008e-05	79.727844	83.20562	7.62915
302.52213	2.9047036e-05	99.9	85.72844	8.768889
302.5594	0.00012296146	99.90625	88.738815	9.884095
302.1835	0.00043003482	99.97917	90.68176	8.251693
301.83328	6.936529e-05	39.583336	78.30001	5.1065216
302.48337	1.1203442e-05	3.375803	82.46152	4.343571
301.87167	6.501161e-05	73.82037	88.64256	4.8882756
302.15598	1.894224e-06	19.9996	82.54837	4.7064614
302.21136	3.6600256e-06	26.860138	82.81671	4.6533513
302.33664	3.3530318e-06	36.35465	83.07817	3.6370323
302.28876	1.0507702e-06	48.2077	80.85153	2.980924
302.29672	4.5171932e-06	58.160435	81.60263	3.3806188
302.23154	1.6370286e-05	99.9	82.36529	3.4631455
301.91675	0.00014456449	99.902084	87.090965	3.6115568
301.6863	0.00013772534	99.9	88.95761	4.5400896
301.89954	0.00011935008	99.925	87.53952	5.543613
301.89127	0.00013783653	99.918755	91.121635	4.4264307
302.02936	2.9699164e-05	99.93542	87.06617	4.053236
302.22797	0.00012151405	95.88598	87.32694	4.77174
302.6508	4.355904e-06	3.7738464	78.18631	5.4348674
302.3976	5.545767e-06	59.470314	76.880585	5.0001583
302.18857	1.341931e-05	9.830982	80.917656	4.3041267
302.29242	4.9942596e-06	10.861208	80.07103	3.7949204
302.3832	4.7255403e-06	67.793915	79.57454	4.025319
302.75034	9.43636e-06	6.647674	79.28412	5.438696
302.98694	2.1144439e-05	53.416763	81.09156	6.478172
303.2089	1.4528505e-05	41.211243	79.68337	7.453613
303.4748	3.9373253e-06	63.529266	78.98572	7.9937882
303.54163	1.1426985e-05	99.90417	80.15173	8.544935
303.4181	3.4071275e-06	58.86184	81.122246	6.9707713
303.4253	6.0529037e-06	72.85534	80.43063	6.051019
303.5596	7.873206e-06	74.472275	81.770424	6.704824
303.8361	1.1956889e-06	73.334145	80.29252	7.438863
303.79138	1.6231867e-05	97.99326	81.76804	8.070651
303.65125	4.6903457e-05	99.9	84.20055	7.7524276
303.34937	0.00010521969	99.9	86.76951	7.405822
302.9809	0.0001474046	82.67556	88.853386	6.918096
303.2964	3.4417324e-05	29.989126	81.71216	7.8328314
303.59338	8.814758e-06	99.9	79.96424	8.501646
303.6038	2.2135497e-05	96.48082	82.30896	9.5132475
303.78397	3.4077933e-05	99.9	84.943985	10.256946
303.96246	5.7434086e-06	99.9	85.17653	9.897929
303.7456	1.7139833e-05	99.9	86.32116	8.780819
303.6812	1.0277052e-05	29.565626	83.04379	7.5262446
303.33255	6.0221937e-06	17.982517	80.913994	6.4851923
303.18497	6.7456976e-06	99.9	80.721695	5.7413917
303.03192	2.1317714e-05	99.9	82.17944	5.525391
303.11237	2.9153307e-05	99.9	83.02635	5.9348845
303.35526	1.9972382e-05	99.9	82.027336	6.384406
303.4904	8.2038305e-06	99.9	80.60115	6.5087647
303.3617	8.937808e-06	99.9	81.37006	5.406551
303.01294	2.8062936e-05	99.9	83.27602	4.8551536
302.909	3.2355903e-05	63.01188	82.513626	5.016926
302.98718	1.285982e-05	8.571831	81.10191	4.395493
303.17685	5.872652e-06	88.22919	78.42217	3.6030793
302.555	8.949317e-05	99.916664	84.26344	3.1373115
303.08405	1.6904767e-05	99.85918	79.403	3.7722955
302.9053	3.3853303e-05	26.375893	79.306	3.16781
302.28394	0.00012947165	83.28929	86.35449	3.8633952
302.1117	0.00017598507	99.9	91.40216	4.3029933
302.17072	0.00010970401	99.92292	88.161705	3.3489459
302.84683	6.1447114e-05	99.947914	85.25187	4.7947245
303.06055	6.173073e-05	99.910416	83.79202	5.159198
302.48953	0.0002667724	99.98334	90.653854	3.606094
302.29285	0.00021773063	97.60467	92.03998	3.785221
302.2039	0.000407527	99.95209	89.63532	4.7404885
302.43832	0.00013878857	99.927086	87.444786	5.267039
302.51257	7.713978e-05	65.64134	84.74017	5.446837
302.66516	0.0001868228	65.38736	85.72486	7.0305414
302.18317	0.00042597685	99.947914	91.91253	5.973914
302.44513	0.00012739058	99.92083	89.89782	4.8390174
302.92853	2.1918397e-05	48.820175	84.04544	3.6714275
302.94757	7.426495e-06	74.531456	80.84255	3.137222
302.94315	2.2619613e-06	76.04538	78.333534	3.5405552
303.01044	2.3706314e-06	99.9	77.60982	3.639153
302.90506	5.668486e-06	99.90625	79.526855	3.1349447
302.61362	2.1543796e-05	45.96287	80.94345	3.3236103
303.02255	5.5876944e-06	36.62621	75.495415	2.9451993
302.58	4.194944e-05	99.9	80.38419	3.9575312
302.61517	5.8219826e-05	96.92061	81.957275	4.9703374
302.76596	5.9057493e-05	86.7232	83.824974	4.4328413
302.5174	6.378299e-05	99.925	83.23186	4.0681124
302.5252	5.146535e-05	88.03358	79.596245	5.5617256
302.3527	0.00017720621	97.30087	86.81056	6.1005926
302.90698	4.9603157e-05	43.19268	83.19611	8.300728
303.03256	3.8218797e-05	17.546812	79.79707	8.967748
302.54263	0.0004091621	90.62477	86.132195	8.948162
302.31363	0.000809355	99.995834	93.0578	6.9314003
302.4887	0.00021109662	99.79964	91.63631	6.4185514
302.32892	0.00018078834	93.803185	89.31505	4.900895
302.69055	3.5458826e-05	21.201784	85.350464	3.2732866
303.37186	5.3822982e-06	50.408165	77.62966	3.566218
303.79532	4.3895057e-10	99.9	79.02263	5.513958
304.12616	1.0629993e-13	65.85437	78.244026	5.377266
303.95734	5.1233583e-12	27.599604	78.945	5.4384546
303.8063	1.3374342e-10	84.54238	79.827995	5.0341053
303.63382	7.5080164e-10	4.822081	80.87865	4.018963
303.41568	3.0311687e-06	21.206799	81.706795	3.831357
303.11392	5.2565534e-05	66.17276	85.863785	4.5525928
302.93857	8.9072164e-05	94.417595	87.97058	4.2726555
302.58282	8.888643e-05	99.94375	88.372025	1.8504016
302.43475	0.00013736554	99.94583	88.90128	3.9745595
302.2696	0.00065545	99.9875	91.764366	3.861364
302.0132	0.00025112848	99.96336	90.36904	2.7973368
302.13272	5.1951498e-05	74.01653	83.83834	3.3682373
302.72305	6.755801e-07	7.987866	71.7003	4.03011
302.52597	4.1326444e-07	53.41333	73.27607	2.847174
302.4356	1.5554191e-05	99.9	78.43514	0.99815613
302.49106	8.959817e-05	72.2349	81.64211	2.844512
302.6227	0.00010424481	99.925	82.42236	5.9668856
302.85843	5.792878e-05	98.15034	78.86435	7.8234344
302.2165	6.179097e-05	63.673885	80.79493	9.880873
301.03256	0.00014166081	96.21446	74.51545	12.762763
299.67044	0.00012768852	99.975	63.15024	13.077478
301.60718	3.969954e-06	77.89172	53.776733	7.120416
299.03726	5.228372e-06	99.95833	80.02464	3.2636292
302.12994	1.916505e-05	98.97955	78.88372	3.2571113
301.50693	0.00012776164	92.65612	89.05491	4.900987
301.3991	9.6739896e-05	50.513054	90.8375	4.636818
301.746	6.1183055e-05	37.70239	88.163185	5.380474
299.76324	1.9103354e-05	95.62772	62.447266	10.542513
299.52368	7.565233e-06	99.9862	75.204895	9.429104
299.5418	7.859374e-05	99.90625	77.01603	7.920164
299.6779	4.167271e-06	99.94969	74.06199	9.044255
300.43906	8.980609e-08	99.9	61.668888	11.147597
299.56	2.4143978e-07	99.9	66.14656	15.436497
297.70248	0.00013757509	99.90417	76.64901	17.70564
297.46716	2.0604022e-05	97.55774	66.659615	11.95768
295.62494	2.1322073e-06	99.0422	70.781746	7.9031086
295.94064	3.7323252e-07	99.98089	76.97537	6.2052226
297.102	7.025975e-08	93.36508	78.18944	3.6762328
298.34473	4.606345e-09	36.233932	75.90603	5.1296926
297.3378	6.932114e-08	58.729904	73.4601	8.579748
297.79346	4.5923167e-09	96.86466	65.03647	10.014987
297.66168	3.265737e-08	50.864357	68.72542	9.962262
298.05276	1.4837704e-11	26.399624	68.54523	8.253856
297.8727	9.8217905e-09	26.460712	67.83713	7.67814
298.5373	1.1362506e-09	44.23562	68.033134	6.3472815
299.5401	6.0007405e-06	95.65784	80.19306	6.022608
299.87067	7.174985e-08	68.08296	78.44615	7.6118646
299.595	2.5621034e-07	99.933334	75.10667	7.920285
299.4622	3.4357325e-07	99.91458	75.44787	7.782705
299.45798	2.5104521e-08	99.93274	74.46761	7.2992725
298.96768	4.620965e-08	61.288486	76.75698	7.4833503
299.30872	4.139748e-07	41.132668	76.47492	6.694303
299.5952	4.7460912e-06	21.5179	81.254265	5.488083
299.57742	1.1645076e-05	16.108387	85.24732	4.270668
299.57724	2.1460825e-07	17.100586	77.51518	5.1412053
299.622	2.7089056e-05	99.23857	83.3521	6.135951
299.15833	6.5180146e-05	99.59165	89.05491	6.014294
299.53464	1.1436286e-05	41.80263	86.72151	5.578516
299.93698	1.0508916e-06	48.55736	82.34236	6.785958
299.84756	5.507236e-10	51.19347	77.168365	5.5324945
298.65802	0.000117098054	99.90833	73.65963	9.878938
295.58585	0.0003780701	99.91458	84.54068	13.51545
292.21356	1.7876484e-05	100.0	84.31579	13.312101
291.87683	2.1026378e-06	100.0	84.40394	11.009378
291.89185	4.819341e-08	99.42122	86.02898	10.50588
292.77515	2.2449028e-07	99.929115	82.7872	10.617666
295.8508	2.211703e-05	99.97708	83.63094	9.93622
297.13702	8.568556e-05	99.94375	83.16266	9.810647
297.58307	1.634107e-07	94.791626	81.2269	9.031898
297.83505	3.9667157e-07	99.87417	78.97619	9.602516
295.9444	0.00052514113	99.9404	84.203865	11.775549
294.78342	0.0004082253	99.97406	83.09804	13.050554
293.91687	0.00028113753	99.98334	86.827965	11.730961
294.11075	8.170431e-05	85.146484	86.98788	9.32319
295.30563	6.9380296e-10	38.811844	68.01398	8.018112
295.1268	1.4979039e-10	0.075743735	59.52027	7.2822647
295.39462	3.7643617e-09	69.79167	67.35023	7.120124
294.37155	2.0304854e-10	2.0833335	55.59775	8.609766
293.11438	2.0974052e-14	18.844383	62.896515	9.41546
293.1645	9.596513e-09	95.65043	70.28622	8.355708
293.59106	1.5813395e-08	99.53339	73.544716	7.5083637
294.29202	1.781904e-09	66.16529	70.09098	7.0913615
295.35797	1.2221666e-07	83.602715	75.78175	7.383463
296.39996	7.577451e-07	95.62813	81.89902	6.3120503
296.37173	1.1376031e-07	83.80873	77.91207	7.1976786
295.08942	8.428213e-13	83.80583	66.61857	7.502473
294.8075	1.0024507e-14	21.121403	73.89627	6.5478034
295.65518	3.1476276e-11	52.763855	70.66098	6.05068
295.3844	5.3839134e-08	40.594917	73.630516	7.4897723
291.7125	8.6916816e-07	94.28638	82.21512	9.595838
289.92294	2.7019484e-11	60.405987	81.7959	9.6576395
291.2495	6.595361e-06	42.942318	78.52738	9.675786
291.41373	8.580582e-06	98.816124	86.70877	9.566282
293.97058	2.4177616e-06	97.264465	83.08603	9.221059
293.0176	9.2334034e-05	99.12511	80.32662	11.50151
289.11365	0.00014783566	99.91298	78.7714	12.704121
288.38693	0.0002527038	99.98334	84.740685	12.429571
290.59534	0.00012263907	99.99784	91.45566	11.884764
292.2901	0.00010284742	100.0	95.64848	8.607923
289.73853	2.2370892e-05	99.99613	92.64555	8.923383
286.87143	3.3805998e-06	99.999535	84.818405	10.469952
289.21487	6.445316e-09	98.441574	62.986004	9.469779
290.0086	8.4900586e-07	99.82295	51.44569	9.055005
289.67087	3.2060082e-06	98.98265	59.934322	9.216536
287.6712	6.979182e-08	20.230137	54.734013	11.14197
285.12222	2.3763192e-15	1.2206716e-06	55.566185	11.964504
285.85727	4.705547e-15	0.00021141545	61.949886	9.413217
286.6813	3.3600785e-15	0.0026050848	60.238605	10.131035
286.23978	3.227831e-17	8.9743026e-14	52.010406	10.840326
286.5196	1.3757108e-18	9.981136e-12	52.17559	9.176744
288.10574	3.651302e-17	2.023844e-13	54.565357	7.407547
289.32516	3.6807874e-14	40.405018	65.14038	5.3352284
289.7654	2.743169e-10	46.253143	63.600132	6.409374
286.45178	1.7838185e-17	0.0	52.378765	11.154683
285.78195	1.2994406e-10	8.368914	61.014454	8.505734
289.88593	5.5548203e-06	98.75433	78.95518	7.5104847
292.2827	2.3609696e-08	31.253368	81.4593	7.4444995
292.4094	1.7270135e-10	18.883032	80.32657	6.336538
292.73782	3.89712e-13	1.8041581e-05	79.65593	5.6405225
293.35513	6.9603917e-10	64.09652	80.5009	5.1498914
293.50504	2.7231456e-06	39.583336	77.221245	5.1373315
292.80533	3.6526297e-05	99.72363	89.00438	7.1382136
291.1601	4.642536e-05	99.47103	91.671486	8.196735
291.1369	1.3517459e-06	99.60336	94.68533	5.9541855
293.423	1.8081257e-06	73.748055	92.692375	4.3999343
293.90262	1.1136267e-06	67.54686	89.58815	4.7498517
288.9118	3.2581169e-09	40.940876	77.16434	10.0936575
287.49744	2.9148473e-10	42.06354	68.78858	8.93704
288.36615	4.964178e-14	34.608032	57.960884	7.045656
290.06976	3.095586e-10	59.348637	65.97398	5.2508955
292.36517	4.3172415e-07	88.16547	77.325294	4.4680376
292.1144	3.1264724e-07	99.791824	78.54684	5.624973
292.4733	6.4092887e-06	90.84863	76.58279	8.350017
291.5742	3.8119463e-06	96.62071	79.10837	9.313743
292.36148	6.0802257e-09	6.9425106	76.11875	7.471549
292.71487	2.5476672e-15	2.6136501e-14	76.459694	4.89019
293.11963	6.6958973e-12	58.102425	75.82803	3.43468
292.4847	1.09449203e-16	71.42113	72.28162	5.5120564
292.52893	1.4167948e-06	99.94583	76.32706	6.665419
290.57715	3.0963343e-05	99.90371	84.87936	7.848524
290.0165	4.3135537e-05	99.439	94.34669	5.347798
290.07486	1.1545981e-06	14.631936	83.37692	4.3253546
293.2384	2.8496611e-08	45.75443	87.50933	2.845608
294.6939	2.1684988e-07	68.76306	91.56551	2.584164
294.99893	1.4548817e-07	66.18818	89.77862	2.468296
294.79813	3.5703404e-06	82.82932	89.925766	2.3773038
294.85104	3.8221185e-07	76.64305	90.49622	1.7435532
290.99875	9.709898e-08	30.883064	70.574165	9.080632
289.75168	1.6755216e-08	16.579393	61.255493	7.4752088
291.0255	1.2978304e-15	1.1995759e-06	66.776764	5.763949
292.6521	3.8009577e-07	28.450548	73.74043	5.3978944
293.25775	2.2847174e-05	98.14394	87.40006	4.771534
293.85153	1.1528125e-05	99.12065	84.02591	4.263241
293.8658	4.4388486e-07	10.257002	77.9677	3.9145846
292.3259	2.6028953e-14	0.15862554	73.49894	5.2956667
293.15662	3.1727792e-09	0.047617506	76.76577	4.3660707
292.6281	8.34323e-15	0.0	75.289696	5.5359135
292.8203	3.3113418e-10	3.2795515	70.15504	5.9523296
292.56747	4.1053903e-07	16.522491	68.92344	7.793293
292.74954	2.2299628e-06	98.159996	75.631546	8.022158
293.88672	1.5948033e-05	94.34264	81.07545	7.449806
294.2298	1.4251561e-05	37.295193	88.42108	4.1684947
294.8479	8.493472e-05	59.854446	90.667145	3.0284882
293.86325	1.2723268e-05	96.73346	87.57882	3.4586246
294.1572	4.592079e-05	46.538284	92.806175	3.1242075
294.00122	1.7810422e-06	63.65794	91.418015	3.6028173
295.112	3.5819419e-06	9.295197	92.56138	2.7789738
295.47397	3.5622392e-07	17.158585	87.492546	3.5276725
295.80484	3.779097e-07	25.611261	89.10379	3.8462768
296.07385	5.951717e-07	28.364906	86.94079	4.930105
295.54282	6.6210314e-06	87.20209	89.71641	1.4522169
295.65707	1.4535433e-06	28.773748	86.509926	4.1764455
295.70767	2.6000637e-06	4.649938	86.440315	4.837846
295.4723	3.1042057e-06	2.4248524	86.303986	2.581369
295.93576	9.248379e-07	11.046977	82.19483	4.358472
296.0198	2.5595584e-06	4.457397	85.28296	5.0704536
295.92606	1.4976619e-05	66.540924	89.73951	3.4775069
295.74728	1.1718679e-05	77.56453	87.240234	2.5768912
296.0725	2.7190579e-06	4.0586452	81.67153	4.3420506
295.9299	1.6693637e-05	15.813134	87.78291	3.5033436
295.4667	1.6610365e-05	30.009047	86.66451	3.5301635
294.53802	3.0330999e-05	34.375042	89.490974	2.3416212
296.0808	2.5347294e-06	49.910496	87.666664	2.3431358
296.63007	1.0313254e-06	3.2176104	85.648315	4.5848513
296.93405	6.0539537e-07	11.6329	86.13618	4.976268
297.29904	1.6749224e-05	56.597054	84.645645	6.261289
297.2645	1.1471383e-05	69.64738	87.02364	5.0927005
297.62955	6.138861e-07	34.51818	84.95635	6.3991923
297.5891	1.0035438e-06	49.254494	86.02134	5.7887506
297.1651	2.4404692e-06	41.074562	88.13657	2.6237822
297.083	4.027934e-06	2.052173	87.03352	4.39544
297.30673	3.213115e-06	56.94886	83.577705	5.6483026
297.68573	1.2256787e-06	13.80273	80.0119	5.6219144
297.8204	5.9261265e-06	14.400562	84.81229	5.618709
297.8537	3.6117583e-06	61.739574	85.484085	4.9892025
297.92856	9.676852e-06	67.20697	86.230965	3.8465781
297.88895	3.8521237e-05	97.72441	84.224625	4.597682
294.95493	6.6424825e-08	73.375824	73.64988	7.7909584
294.75198	3.0942095e-07	5.771968	68.26509	7.171801
296.85788	4.1694993e-06	88.479904	74.186005	7.6753736
297.3118	7.671913e-06	38.23056	79.38086	5.9215217
297.4496	2.059457e-05	9.078743	87.807365	3.4850585
297.67053	1.3988403e-06	5.825106	85.296684	3.885678
297.63794	8.140434e-07	16.687159	85.95903	2.7779229
297.84045	5.5220073e-07	27.04515	85.16839	3.8338473
298.0416	6.90111e-07	52.937317	84.889854	2.3698335
297.51306	2.267486e-05	77.2001	84.55545	4.520132
296.56708	0.00013752171	93.165344	90.468285	4.654778
295.69873	1.2278832e-06	27.719072	73.885704	4.586514
297.39316	2.888221e-07	46.420242	45.207165	2.5129402
297.40475	7.7175405e-18	1.2726711	56.761856	3.1905477
297.74908	3.0543277e-05	53.42796	82.72568	4.9639654
297.62216	0.00013360882	68.59414	93.64278	4.7394304
297.88217	0.00017570963	98.1348	93.5034	3.6885693
297.7278	0.0004603525	100.0	89.54347	2.4688776
297.46848	0.00021128738	99.93958	86.8983	2.512392
298.7187	9.781886e-07	99.9	77.40563	3.3021436
298.5276	2.9608806e-05	99.90417	85.08492	4.4366074
298.2836	0.00011809735	99.826965	90.40179	4.2439756
298.8593	5.2079386e-06	62.476665	87.930176	3.351358
299.00827	1.3916704e-05	50.42393	87.59502	2.747813
298.5361	9.384788e-05	93.796005	93.22022	2.7960134
299.52353	3.573442e-05	94.59012	89.14748	5.768391
